investor,shareClass,shares,ownershipPct,sourceFile,termSheetMatch,discrepancy
Founders,Common,4000000,40.00%,sample-cap-table.csv,,
Option Pool,Common,1500000,15.00%,sample-cap-table.csv,,
Sequoia Capital,Series A Preferred,1500000,15.00%,sample-cap-table.csv,,
Accel Partners,Series A Preferred,1000000,10.00%,sample-cap-table.csv,,
Y Combinator,SAFE,300000,3.00%,sample-cap-table.csv,,
Angel Investors,Common,200000,2.00%,sample-cap-table.csv,,
Conversion Pool,Series A Preferred,500000,5.00%,sample-cap-table.csv,,
Reserved,Unissued,1000000,10.00%,sample-cap-table.csv,,
Post-money valuation: $50000000.00,Not found in the document.,Not found in the document.,Not found in the document.,sample-cap-table.csv,,
Pre-money valuation: $33000000.00,Not found in the document.,Not found in the document.,Not found in the document.,sample-cap-table.csv,,
Series A total raised: $17000000.00,Not found in the document.,Not found in the document.,Not found in the document.,sample-cap-table.csv,,
Liquidation preference: 1x non-participating,Not found in the document.,Not found in the document.,Not found in the document.,sample-cap-table.csv,,
Anti-dilution: Broad-based weighted average,Not found in the document.,Not found in the document.,Not found in the document.,sample-cap-table.csv,,
