evidenceId,issueId,sourceFilename,documentQuote,spreadsheetRow,sheetName,rowNumber,fieldName,isVerified,verificationNote
ev-2026-07-20T04-03-31-001,iss-2026-07-20T04-03-31-001,sample-saas-agreement.txt,"automatically renew for successive one-year periods (each a ""Renewal Term"") unless Customer provides written notice of cancellation at least ninety (90) days prior to the end of the then-current term",,,,General Provisions,true,
ev-2026-07-20T04-03-31-002,iss-2026-07-20T04-03-31-002,sample-saas-agreement.txt,"IN NO EVENT SHALL PROVIDER BE LIABLE FOR ANY INDIRECT, INCIDENTAL, SPECIAL, EXEMPLARY, OR CONSEQUENTIAL DAMAGES, INCLUDING LOSS OF PROFITS, DATA, OR BUSINESS OPPORTUNITIES, EVEN IF PROVIDER HAS BEEN ADVISED OF THE POS",,,,Liability,true,
ev-2026-07-20T04-03-31-003,iss-2026-07-20T04-03-31-003,sample-saas-agreement.txt,"automatically renew for successive one-year periods (each a ""Renewal Term"") unless Customer provides written notice of cancellation at least ninety (90) days prior to the end of the then-current term",,,,Term and Renewal,true,
ev-2026-07-20T04-03-31-004,iss-2026-07-20T04-03-31-004,sample-saas-agreement.txt,Unilateral modification rights may allow changes without consent,,,,,false,Quote could not be located in the source document — do not rely on it without manual verification.
ev-2026-07-20T04-03-31-005,iss-2026-07-20T04-03-31-005,sample-saas-agreement.txt,Review auto-renewal notice window carefully,,,,,false,Quote could not be located in the source document — do not rely on it without manual verification.
ev-2026-07-20T04-03-31-006,iss-2026-07-20T04-03-31-006,sample-saas-agreement.txt,Contract payment terms (see contract) vs. Overdue: DataStream Inc,,,,,false,Derived from cross-document comparison — verify the underlying values in both source files.
ev-2026-07-20T04-03-31-007,iss-2026-07-20T04-03-31-007,sample-saas-agreement.txt,Contract payment terms (see contract) vs. Overdue: DataDog Inc,,,,,false,Derived from cross-document comparison — verify the underlying values in both source files.
ev-2026-07-20T04-03-31-008,iss-2026-07-20T04-03-31-008,sample-payment-schedule.csv,,Vendor: DataStream Inc | Amount: $9100.00 | Due: 2024-03-31,,,,true,Extracted directly from the spreadsheet row.
ev-2026-07-20T04-03-31-009,iss-2026-07-20T04-03-31-009,sample-vendor-invoices.csv,,Vendor: DataDog Inc | Amount: $6500.00 | Due: 2024-03-05,,,,true,Extracted directly from the spreadsheet row.
ev-2026-07-20T04-03-31-010,iss-2026-07-20T04-03-31-010,sample-saas-agreement.txt,,,,,,false,Auto-detected from spreadsheet structure analysis.
ev-2026-07-20T04-03-31-011,iss-2026-07-20T04-03-31-011,sample-saas-agreement.txt,,,,,,false,Auto-detected from spreadsheet structure analysis.
