evidenceId,issueId,sourceFilename,documentQuote,spreadsheetRow,sheetName,rowNumber,fieldName,isVerified,verificationNote
ev-2026-07-20T04-03-30-001,iss-2026-07-20T04-03-30-001,sample-contractor-agreement.txt,,,,,General Provisions,false,Supporting quote not available — verify against source document.
ev-2026-07-20T04-03-30-002,iss-2026-07-20T04-03-30-002,sample-contractor-agreement.txt,"IN NO EVENT SHALL COMPANY BE LIABLE TO CONTRACTOR FOR ANY INDIRECT, INCIDENTAL, SPECIAL, OR CONSEQUENTIAL DAMAGES ARISING OUT OF OR RELATED TO THIS AGREEMENT",,,,Liability,true,
ev-2026-07-20T04-03-30-003,iss-2026-07-20T04-03-30-003,sample-contractor-agreement.txt,,,,,Term and Renewal,false,Supporting quote not available — verify against source document.
ev-2026-07-20T04-03-30-004,iss-2026-07-20T04-03-30-004,sample-contractor-agreement.txt,Unilateral modification rights may allow changes without consent,,,,,false,Quote could not be located in the source document — do not rely on it without manual verification.
ev-2026-07-20T04-03-30-005,iss-2026-07-20T04-03-30-005,sample-contractor-agreement.txt,Review auto-renewal notice window carefully,,,,,false,Quote could not be located in the source document — do not rely on it without manual verification.
ev-2026-07-20T04-03-30-006,iss-2026-07-20T04-03-30-006,sample-saas-agreement.txt,"automatically renew for successive one-year periods (each a ""Renewal Term"") unless Customer provides written notice of cancellation at least ninety (90) days prior to the end of the then-current term",,,,General Provisions,true,
ev-2026-07-20T04-03-30-007,iss-2026-07-20T04-03-30-007,sample-saas-agreement.txt,"IN NO EVENT SHALL PROVIDER BE LIABLE FOR ANY INDIRECT, INCIDENTAL, SPECIAL, EXEMPLARY, OR CONSEQUENTIAL DAMAGES, INCLUDING LOSS OF PROFITS, DATA, OR BUSINESS OPPORTUNITIES, EVEN IF PROVIDER HAS BEEN ADVISED OF THE POS",,,,Liability,true,
ev-2026-07-20T04-03-30-008,iss-2026-07-20T04-03-30-008,sample-saas-agreement.txt,"automatically renew for successive one-year periods (each a ""Renewal Term"") unless Customer provides written notice of cancellation at least ninety (90) days prior to the end of the then-current term",,,,Term and Renewal,true,
ev-2026-07-20T04-03-30-009,iss-2026-07-20T04-03-30-009,sample-saas-agreement.txt,Unilateral modification rights may allow changes without consent,,,,,false,Quote could not be located in the source document — do not rely on it without manual verification.
ev-2026-07-20T04-03-30-010,iss-2026-07-20T04-03-30-010,sample-saas-agreement.txt,Review auto-renewal notice window carefully,,,,,false,Quote could not be located in the source document — do not rely on it without manual verification.
ev-2026-07-20T04-03-30-011,iss-2026-07-20T04-03-30-011,sample-term-sheet.txt,,,,,General Provisions,false,Supporting quote not available — verify against source document.
ev-2026-07-20T04-03-30-012,iss-2026-07-20T04-03-30-012,sample-term-sheet.txt,,,,,Liability,false,Supporting quote not available — verify against source document.
ev-2026-07-20T04-03-30-013,iss-2026-07-20T04-03-30-013,sample-term-sheet.txt,,,,,Term and Renewal,false,Supporting quote not available — verify against source document.
ev-2026-07-20T04-03-30-014,iss-2026-07-20T04-03-30-014,sample-term-sheet.txt,Unilateral modification rights may allow changes without consent,,,,,false,Quote could not be located in the source document — do not rely on it without manual verification.
ev-2026-07-20T04-03-30-015,iss-2026-07-20T04-03-30-015,sample-term-sheet.txt,Review auto-renewal notice window carefully,,,,,false,Quote could not be located in the source document — do not rely on it without manual verification.
ev-2026-07-20T04-03-30-016,iss-2026-07-20T04-03-30-016,sample-contractor-agreement.txt,Contract payment terms (see contract) vs. Overdue: DataStream Inc,,,,,false,Derived from cross-document comparison — verify the underlying values in both source files.
ev-2026-07-20T04-03-30-017,iss-2026-07-20T04-03-30-017,sample-contractor-agreement.txt,Contract payment terms (see contract) vs. Overdue: DataDog Inc,,,,,false,Derived from cross-document comparison — verify the underlying values in both source files.
ev-2026-07-20T04-03-30-018,iss-2026-07-20T04-03-30-018,sample-payment-schedule.csv,,Vendor: DataStream Inc | Amount: $9100.00 | Due: 2024-03-31,,,,true,Extracted directly from the spreadsheet row.
ev-2026-07-20T04-03-30-019,iss-2026-07-20T04-03-30-019,sample-vendor-invoices.csv,,Vendor: DataDog Inc | Amount: $6500.00 | Due: 2024-03-05,,,,true,Extracted directly from the spreadsheet row.
ev-2026-07-20T04-03-30-020,iss-2026-07-20T04-03-30-020,sample-contractor-agreement.txt,,,,,,false,Auto-detected from spreadsheet structure analysis.
ev-2026-07-20T04-03-30-021,iss-2026-07-20T04-03-30-021,sample-contractor-agreement.txt,,,,,,false,Auto-detected from spreadsheet structure analysis.
